ISSN -L	Wiki-ID	Label (titre)	ISSN ref titre	Code ISO de langue	ISSN ref langue	ISO pays	ISSN ref pays	URLs	ISSN ref URLs	ISSN1	keytitle1	format1	ISSN2	keytitle2	format2	ISSN3	keytitle3	format3	ISSN4	keytitle4	format4	cancelled ISSN
1374-7762	Q1000226	Krautgarten	1374-7762	mul	1374-7762	DEU	1374-7762			1374-7762	 Krautgarten (Blieskastel)	ta										
0946-2856	Q1000406	 Process	0946-2856	ger	0946-2856	DEU	0946-2856			0946-2856	 Process (Würzburg)	ta										
1419-8770	Q1000686	 Budapester Zeitung	1419-8770	ger	1419-8770	HUN	1419-8770	http://www.budapester.hu http://www.bz.hu	1588-0931	1419-8770	 Budapester Zeitung	ta	1588-0931	 Budapester Zeitung Online	cr							
0298-1971	Q1001255	 Folio junior. Un Livre dont vous êtes le héros. Défis fantastiques	0298-1971	fre	0298-1971	FRA	0298-1971			0298-1971	 Folio junior. Un Livre dont vous êtes le héros. Défis fantastiques	ta										
0355-2055	Q1001384	 Ilta-sanomat	0355-2055	fin	0355-2055	FIN	0355-2055	http://www.iltasanomat.fi/	1798-9760	0355-2055	 Ilta-sanomat (Painettu)	ta	1798-9760	 Ilta-sanomat (Verkkoaineisto)	cr							
0015-3257	Q1001824	 Fizikai szemle	0015-3257	hun	0015-3257	HUN	0015-3257	http://www.kfki.hu/fszemle/ http://epa.oszk.hu/fizikai_szemle	1588-0540	0015-3257	 Fizikai szemle (Nyomtatott)	ta	1588-0540	 Fizikai szemle (Online)	cr							
1585-0560	Q1002830	 Fordulat	1585-0560	hun	1585-0560	HUN	1585-0560	http://fordulat.net http://epa.oszk.hu/fordulat/	2498-9347	1585-0560	 Fordulat	ta	2498-9347	 Fordulat (Online)	cr							
0133-056X	Q1003065	Forrás	0133-056X	hun	0133-056X	HUN	0133-056X	http://www.rkk.hu/forras/ http://www.bajaobs.hu/megye/kultura/forras.htm	1418-1568	0133-056X	 Forrás (Kecskemét. Nyomtatott)	ta	1418-1568	 Forrás (Kecskemét. Online)	cr							
0009-2347	Q1003168	 Chemical and engineering news	0009-2347	eng	0009-2347	USA	0009-2347	http://pubs.acs.org/journal/cgeabj http://pubs.acs.org/cen/	1520-605X	0009-2347	 Chemical & engineering news (Print)	ta	1520-605X	 Chemical & engineering news (Online)	cr							
0045-351X	Q1004365	 Bulletin Jugend + Literatur	0045-351X	ger	0045-351X	DEU	0045-351X			0045-351X	 Bulletin Jugend + Literatur	ta										
0007-4217	Q1004380	 Bulletin de correspondance hellénique	0007-4217	mul	0007-4217	GRC	0007-4217	http://www.persee.fr/web/revues/home/prescript/revue/bch	2241-0104	0007-4217	 Bulletin de correspondance hellénique (Print)	ta	2241-0104	 Bulletin de correspondance hellénique (Online)	cr							
0003-1186	Q1004394	 The Bulletin of the American Society of Papyrologists	0003-1186	eng	0003-1186	USA	0003-1186	http://rzblx1.uni-regensburg.de/ezeit/warpto.phtml?colors=7&jour_id=91518 http://Quod.lib.umich.edu/b/basp/ http://www.jstor.org/journal/bullamersocipapy http://poj.peeters-leuven.be/content.php?url=journal&journal_code=BASP	1938-6958	0003-1186	 The Bulletin of the American Society of Papyrologists (Printed)	ta	1938-6958	 The Bulletin of the American Society of Papyrologists (Online)	cr							
0096-3402	Q1004412	 Bulletin of the atomic scientists	0096-3402	eng	0096-3402	USA	0096-3402	http://journals.sagepub.com/home/bos/content/by/year http://www.tandfonline.com/loi/rbul20 http://books.google.com/books?id=UglBAQAAIAAJ http://books.google.com/books?id=bVAqAAAAMAAJ	1938-3282	0096-3402	 Bulletin of the atomic scientists	ta	1938-3282	 Bulletin of the atomic scientists (Online)	cr							0007-5094 0096-5243
0323-8954	Q1004844	Bummi	0323-8954	ger	0323-8954	DEU	0323-8954			0323-8954	 Bummi (Rastatt)	ta										
0344-7634	Q1005565	 Bundesanzeiger	0344-7634	ger	0344-7634	DEU	0344-7634			0344-7634	 Bundesanzeiger	ta										
0007-5868	Q1005567	 Bundesarbeitsblatt	0007-5868	ger	0007-5868	DEU	0007-5868			0007-5868	 Bundesarbeitsblatt	ta										
0007-5884	Q1005802	 Bundesbaublatt	0007-5884	ger	0007-5884	DEU	0007-5884			0007-5884	 Bundesbaublatt (Wiesbaden)	ta										
1436-9990	Q1006114	 Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz	1436-9990	ger	1436-9990	DEU	1436-9990	http://link.springer.com/journal/103	1437-1588	1436-9990	 Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz (Print)	ta	1437-1588	 Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz (Internet)	cr							
0015-542X	Q1006144	 Földtani közlöny	0015-542X	mul	0015-542X	HUN	0015-542X	http://ojs3.mtak.hu/index.php/foldtanikozlony/ http://epa.oszk.hu/foldtani_kozlony/	2559-902X	0015-542X	 Földtani közlöny	ta	2559-902X	 Földtani közlöny (Online)	cr							
0016-240X	Q1006407	 Füles	0016-240X	hun	0016-240X	HUN	0016-240X			0016-240X	 Füles	ta										
0865-5391	Q1008324	Garfield	0865-5391	hun	0865-5391	HUN	0865-5391			0865-5391	 Garfield (Budapest)	ta										
1125-601X	Q1010570	Giochi per il mio computer	1125-601X	ita	1125-601X	ITA	1125-601X			1125-601X	 Giochi per il mio computer	ta										
0012-9658	Q1013420	 Ecology	0012-9658	eng	0012-9658	USA	0012-9658	http://books.google.com/books?id=-BIuAAAAMAAJ http://books.google.com/books?id=MBIuAAAAMAAJ http://books.google.com/books?id=qhAuAAAAMAAJ http://books.google.com/books?id=Og0uAAAAMAAJ	1939-9170	0012-9658	 Ecology (Brooklyn, New York, N.Y.)	ta	1939-9170	 Ecology (Brooklyn, New York, N.Y. Online)	cr							
0007-6201	Q1014840	 Burgen und Schlösser	0007-6201	ger	0007-6201	DEU	0007-6201	http://journals.ub.uni-heidelberg.de/index.php/bus/index http://www.bibliothek.uni-regensburg.de/ezeit/?2900293	2567-3041	0007-6201	 Burgen und Schlösser	ta	2567-3041	 Burgen und Schlösser (Braubach. Online)	cr							
1018-6107	Q1014857	Burgenlandische Heimatblätter	1018-6107	ger	1018-6107	AUT	1018-6107			1018-6107	 Burgenlandische Heimatblätter	ta										
0007-6287	Q1016639	 The Burlington magazine	0007-6287	eng	0007-6287	GBR	0007-6287	http://www.burlington.org.uk/home	2044-9925	0007-6287	 Burlington magazine	ta	2044-9925	 The Burlington magazine (Online)	cr							
0341-5252	Q1017027	 Burschenschaftliche Blätter	0341-5252	ger	0341-5252	DEU	0341-5252			0341-5252	 Burschenschaftliche Blätter	ta										
1868-8241	Q1017538	 Business + Innovation	1868-8241	ger	1868-8241	DEU	1868-8241	https://link.springer.com/journal/35789	1868-825X	1868-8241	 Business + Innovation (Print)	ta	1868-825X	 Business + Innovation (Internet)	cr							
2198-5561	Q1017588	 Business Punk	2198-5561	ger	2198-5561	DEU	2198-5561			2198-5561	 Business Punk	ta										
2198-3402	Q1017589	 Business research	2198-3402	eng	2198-3402	DEU	2198-3402	http://www.bibliothek.uni-regensburg.de/ezeit/?2426376 http://link.springer.com/journal/40685 http://www.business-research.org http://www.econstor.eu/escollectionhome/10419/103660	2198-2627	2198-2627	 Business research (Heidelberg. Online)	cr	2198-3402	 Business research (Heidelberg. Print)	ta							1866-8658
0940-1997	Q1017707	Rolf Kaukas Bussi Bär	0940-1997	ger	0940-1997	DEU	0940-1997			0940-1997	 Rolf Kaukas Bussi Bär	ta										
0174-4909	Q10184	 Frankfurter Allgemeine	0174-4909	ger	0174-4909	DEU	0174-4909			0174-4909	 Frankfurter Allgemeine	ta	1431-3138	 Frankfurter Allg	co	1866-5314	 Die FAZ auf CD-ROM (2005)	cj				
0947-174X	Q10185	Berliner Zeitung	0947-174X	ger	0947-174X	DEU	0947-174X			0947-174X	 Berliner Zeitung (Berliner Verl. Ausg. FA)	ta										
0949-5045	Q10186	BZ	0949-5045	ger	0949-5045	DEU	0949-5045			0949-5045	 BZ (Berlin)	ta										
0360-5280	Q1018709	 Byte	0360-5280	eng	0360-5280	USA	0360-5280			0360-5280	 Byte	ta	1082-7838	 Byte on CD-ROM	co							
0939-5571	Q1018805	 BÄKO-Magazin	0939-5571	ger	0939-5571	DEU	0939-5571			0939-5571	 BÄKO-Magazin	ta										
1865-2263	Q10189	 Der Tagesspiegel	1865-2263	ger	1865-2263	DEU	1865-2263			1865-2263	 Der Tagesspiegel (Berlin. Zeitung. Frühausg.)	ta										
0005-383X	Q1018915	Bäcker und Konditor	0005-383X	ger	0005-383X	DEU	0005-383X			0005-383X	 Bäcker und Konditor	ta										
1437-3475	Q10190	Berliner Kurier	1437-3475	ger	1437-3475	DEU	1437-3475			1437-3475	 Berliner Kurier (Berliner Verl.)	ta										
1611-4280	Q1019995	 Börsenblatt	1611-4280	ger	1611-4280	DEU	1611-4280			1611-4280	 Börsenblatt (Frankfurt)	ta										
1860-8191	Q1020339	 Bücher	1860-8191	ger	1860-8191	DEU	1860-8191			1860-8191	 Bücher (Essen)	ta										2192-2101
